med_mass_1 med_mass_2 med_lum_dist log_D_AB
4.324094243174999974e+01 3.729576608158699003e+01 1.089471521489970473e+04 -2.385569682823039273e+00
1.795569109364337379e+01 1.342451266802985543e+01 7.853499174383588070e+03 -1.058411045567794062e+01
1.012328029391556328e+01 9.491243270576942948e+00 1.039727595277591035e+03 -1.867424691302605666e+01
2.455625578931873321e+01 1.882756562984160809e+01 1.540184386601686128e+03 -2.402163165184607152e+00
3.252498778784543276e+01 2.880321815323032908e+01 1.225750776348614636e+04 -6.161888006745662949e+00
1.169125025976901000e+01 9.885954718397051977e+00 1.344564695238209197e+03 -1.415584181700933009e+01
1.064581832673412976e+01 9.611128611212524930e+00 1.308104537674171524e+03 -1.703480755375257871e+01
9.588573432702201416e+00 7.250657934323212928e+00 1.282265145696829222e+03 -2.165178723037939079e+01
2.259009277463313197e+02 1.536607614588597244e+02 4.703987518341199029e+04 2.943644786797062096e+00
1.074653544115932569e+01 7.400777945929085888e+00 1.580149632702256895e+03 -1.835369755395953462e+01
2.093808361035664944e+01 1.521593407332385794e+01 8.073152265137011454e+03 -7.437519754163824715e+00
1.935022498535496283e+01 1.580932464042645336e+01 6.281146174811854507e+03 -8.078364858678879656e+00
1.045935337560769263e+01 7.631165423905989620e+00 1.199506186469360046e+03 -1.759312868612008174e+01
1.041927126077679873e+02 4.191103571329124833e+01 3.372135658127514762e+04 9.198597331007505318e-01
4.772870929056177403e+01 3.815673143126281275e+01 1.604455333875526776e+04 -3.190683556134143117e+00
3.353762438958162306e+01 2.866041317110255449e+01 1.133698641720784690e+04 -4.876072805337599902e+00
2.509562825898927585e+01 2.293055527826562212e+01 1.532697828947733069e+04 -8.496213331546474734e+00
4.540994454486575904e+01 3.647750678775592803e+01 2.605367226325589218e+04 -5.564864120643317591e+00
1.549012080996061869e+01 1.328660077745868229e+01 1.002259363509245486e+04 -1.269297124523328257e+01
2.836236785844577923e+01 2.536707934296336475e+01 1.345992589379383162e+03 -2.430949233242536422e-01
2.126404910191812547e+01 2.013877757704829463e+01 1.378755046063511600e+03 -4.032409535891897434e+00
2.730416676536083287e+01 1.448617504301680370e+01 5.521268989895635059e+03 -2.136411627390156553e+00
2.224714566935882942e+01 1.433989387583664588e+01 8.519278560621483848e+03 -7.102989503413182248e+00
2.355218583058957904e+01 1.332483482345321235e+01 1.472196577378383154e+03 -1.662173458093544554e+00
5.540886271195749657e+01 4.363326030016806101e+01 4.097686658374073158e+04 -4.817274100229354872e+00
4.384167427408689122e+01 3.057426223610735505e+01 1.786878784988503685e+04 -3.791440402091211581e+00
1.017313745518098322e+01 9.858914527015722129e+00 1.342444750997591200e+03 -1.916530731365698514e+01
1.452478128399987156e+01 1.120636162533708102e+01 4.648945587726533631e+03 -1.447271036241489739e+01
