med_mass_1 med_mass_2 med_lum_dist p_PopIII
2.032602298418733540e+02 1.483626236052961076e+02 5.487550410528434440e+04 8.746345825195313006e-01
6.416063775218515275e+02 4.336906584441177301e+02 1.040149152898784087e+05 9.629194335937499849e-01
1.568604214577843265e+02 1.207641960992719987e+02 5.171106609930578270e+04 7.183880615234374822e-01
2.663815271603185693e+02 2.006065632003212045e+02 7.314225236495418358e+04 8.919283447265624609e-01
2.794432179315558642e+02 2.404009449494805608e+02 5.060764893242926337e+04 8.862974853515624973e-01
1.348942347813462845e+02 7.961101905096057862e+01 2.527723866892253864e+04 9.334340820312500009e-01
2.376333858296703170e+02 1.855438968080086681e+02 7.505139798338722903e+04 8.667457885742188006e-01
6.228659496599111662e+02 4.942843909419094643e+02 1.297047183402973460e+05 9.551162109374999876e-01
5.295277245064041693e+01 5.004753135347876025e+01 5.571580713554838439e+03 8.309385986328124973e-01
1.530198759266959314e+02 7.209643198677896692e+01 2.885368592845174862e+04 7.741381835937499734e-01
1.571711420950880722e+02 1.248109847974802165e+02 7.481558668908325490e+04 7.408436889648437607e-01
3.212579587393347538e+02 2.348948043480563399e+02 6.179908892414026923e+04 9.246265258789062580e-01
1.981288737839524572e+02 1.529521637445456577e+02 2.789673018544024671e+04 9.237987670898437642e-01
5.229118900911070256e+01 3.031323142996460263e+01 1.547287989917656705e+04 2.542127838134765616e-01
